Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.351s)
CreateVariables () DONE !!!
Creating 16 APs 35.00 and 35.00 m apart.
CreateApNodes () DONE !!!
Creating CL 10.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15
11.00	-1.00	-1.00	-1.00	0.59	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	0.24	-1.00	-1.00	-1.00	0.53
12.00	-1.00	-1.00	-1.00	0.06	-1.00	-1.00	-1.00	0.35	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	0.00
13.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	0.24
14.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	0.00
15.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	0.24	-1.00	-1.00	-1.00	0.00
16.00	-1.00	-1.00	-1.00	0.18	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	0.00
17.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	0.00
18.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	0.29	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	0.00
19.00	-1.00	-1.00	-1.00	0.53	-1.00	-1.00	-1.00	1.00	-1.00	-1.00	-1.00	0.53	-1.00	-1.00	-1.00	0.00
20.00	-1.00	-1.00	-1.00	0.24	-1.00	-1.00	-1.00	0.24	-1.00	-1.00	-1.00	0.12	-1.00	-1.00	-1.00	0.41
21.00	-1.00	-1.00	-1.00	0.59	-1.00	-1.00	-1.00	0.47	-1.00	-1.00	-1.00	0.53	-1.00	-1.00	-1.00	0.88
22.00	-1.00	-1.00	-1.00	0.35	-1.00	-1.00	-1.00	0.71	-1.00	-1.00	-1.00	0.53	-1.00	-1.00	-1.00	0.35
23.00	-1.00	-1.00	-1.00	0.59	-1.00	-1.00	-1.00	0.35	-1.00	-1.00	-1.00	0.41	-1.00	-1.00	-1.00	0.24
24.00	-1.00	-1.00	-1.00	0.29	-1.00	-1.00	-1.00	0.82	-1.00	-1.00	-1.00	0.77	-1.00	-1.00	-1.00	0.24
25.00	-1.00	-1.00	-1.00	0.41	-1.00	-1.00	-1.00	0.35	-1.00	-1.00	-1.00	0.12	-1.00	-1.00	-1.00	0.24
26.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	0.29	-1.00	-1.00	-1.00	0.29	-1.00	-1.00	-1.00	0.53
27.00	-1.00	-1.00	-1.00	0.29	-1.00	-1.00	-1.00	0.53	-1.00	-1.00	-1.00	0.77	-1.00	-1.00	-1.00	0.47
28.00	-1.00	-1.00	-1.00	0.77	-1.00	-1.00	-1.00	0.35	-1.00	-1.00	-1.00	0.53	-1.00	-1.00	-1.00	0.47
29.00	-1.00	-1.00	-1.00	0.29	-1.00	-1.00	-1.00	0.41	-1.00	-1.00	-1.00	0.24	-1.00	-1.00	-1.00	0.24
30.00	-1.00	-1.00	-1.00	0.35	-1.00	-1.00	-1.00	0.47	-1.00	-1.00	-1.00	0.29	-1.00	-1.00	-1.00	0.53
31.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	0.06	-1.00	-1.00	-1.00	0.00
32.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	0.00
33.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	0.00
34.00	-1.00	-1.00	-1.00	0.12	-1.00	-1.00	-1.00	0.29	-1.00	-1.00	-1.00	0.12	-1.00	-1.00	-1.00	0.00
35.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	0.00
36.00	-1.00	-1.00	-1.00	0.35	-1.00	-1.00	-1.00	0.47	-1.00	-1.00	-1.00	0.82	-1.00	-1.00	-1.00	0.47
37.00	-1.00	-1.00	-1.00	0.18	-1.00	-1.00	-1.00	0.06	-1.00	-1.00	-1.00	0.41	-1.00	-1.00	-1.00	0.24
38.00	-1.00	-1.00	-1.00	0.53	-1.00	-1.00	-1.00	1.00	-1.00	-1.00	-1.00	0.29	-1.00	-1.00	-1.00	0.71
39.00	-1.00	-1.00	-1.00	0.06	-1.00	-1.00	-1.00	0.53	-1.00	-1.00	-1.00	0.41	-1.00	-1.00	-1.00	0.71
40.00	-1.00	-1.00	-1.00	0.82	-1.00	-1.00	-1.00	0.53	-1.00	-1.00	-1.00	0.35	-1.00	-1.00	-1.00	0.41
41.00	-1.00	-1.00	-1.00	0.24	-1.00	-1.00	-1.00	0.59	-1.00	-1.00	-1.00	0.88	-1.00	-1.00	-1.00	0.88
42.00	-1.00	-1.00	-1.00	0.18	-1.00	-1.00	-1.00	0.35	-1.00	-1.00	-1.00	0.12	-1.00	-1.00	-1.00	0.12
43.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	0.18	-1.00	-1.00	-1.00	0.00
44.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	0.00
45.00	-1.00	-1.00	-1.00	0.59	-1.00	-1.00	-1.00	0.65	-1.00	-1.00	-1.00	1.30	-1.00	-1.00	-1.00	0.35
46.00	-1.00	-1.00	-1.00	0.35	-1.00	-1.00	-1.00	0.59	-1.00	-1.00	-1.00	0.47	-1.00	-1.00	-1.00	0.88
47.00	-1.00	-1.00	-1.00	0.77	-1.00	-1.00	-1.00	0.82	-1.00	-1.00	-1.00	0.65	-1.00	-1.00	-1.00	0.29
48.00	-1.00	-1.00	-1.00	0.35	-1.00	-1.00	-1.00	0.41	-1.00	-1.00	-1.00	0.35	-1.00	-1.00	-1.00	0.29
49.00	-1.00	-1.00	-1.00	0.71	-1.00	-1.00	-1.00	0.65	-1.00	-1.00	-1.00	0.06	-1.00	-1.00	-1.00	0.71
50.00	-1.00	-1.00	-1.00	0.47	-1.00	-1.00	-1.00	0.53	-1.00	-1.00	-1.00	0.35	-1.00	-1.00	-1.00	0.53
51.00	-1.00	-1.00	-1.00	0.77	-1.00	-1.00	-1.00	0.41	-1.00	-1.00	-1.00	0.77	-1.00	-1.00	-1.00	0.53
52.00	-1.00	-1.00	-1.00	0.88	-1.00	-1.00	-1.00	0.65	-1.00	-1.00	-1.00	0.47	-1.00	-1.00	-1.00	0.71
53.00	-1.00	-1.00	-1.00	0.12	-1.00	-1.00	-1.00	0.65	-1.00	-1.00	-1.00	0.82	-1.00	-1.00	-1.00	0.77
54.00	-1.00	-1.00	-1.00	0.53	-1.00	-1.00	-1.00	0.59	-1.00	-1.00	-1.00	0.35	-1.00	-1.00	-1.00	0.29
55.00	-1.00	-1.00	-1.00	0.12	-1.00	-1.00	-1.00	0.12	-1.00	-1.00	-1.00	0.24	-1.00	-1.00	-1.00	0.24
56.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	0.18	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	0.00
57.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	0.18	-1.00	-1.00	-1.00	0.12	-1.00	-1.00	-1.00	0.06
58.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	0.00
